threadid	postcount	postcount_cutoff	length_of_title	length_of_opening_post	avg_postlength	question_count	avg_cossim_with_thread	avg_cossim_with_previous	category
102097	89	50	43	1454	398	0	0.611410363534	0.380441344534	Reizen
103511	29	29	27	565	276	2	0.407773648422	0.135357834582	Reizen
103685	33	33	52	566	252	2	0.496381007858	0.2286757761	Mode & Beauty
103870	79	50	27	3027	281	10	0.477693260249	0.222427606052	Geld & Recht
104095	102	50	25	443	118	0	0.367230484929	0.205345890799	Gezondheid
104496	29	29	34	228	309	1	0.438006641119	0.219604255236	Kinderen
104722	40	40	42	1013	205	2	0.419649040749	0.157165695202	Digi
105430	32	32	23	341	363	3	0.54371763075	0.273014620263	Kinderen
112222	30	30	37	442	287	1	0.503758651192	0.25716860266	Mode & Beauty
114515	27	27	14	584	337	0	0.550982548537	0.255103211477	Overig
115204	21	21	4	835	367	0	0.551251398484	0.268413676395	Relaties
115434	25	25	19	148	324	1	0.550971891249	0.273647069262	Relaties
115985	26	26	18	1751	265	4	0.282819626139	0.105909711497	Thuis
116046	25	25	25	559	389	4	0.570713419232	0.286233135188	Digi
116056	20	20	22	510	241	1	0.495053502105	0.201672029409	Kinderen
116103	25	25	48	577	233	4	0.408428393189	0.101100456643	Digi
116293	26	26	33	777	241	1	0.458549118963	0.161113107189	Digi
117129	25	25	30	191	145	2	0.368347132344	0.113639461855	Digi
182534	78	50	20	816	247	2	0.528287488978	0.308868444445	Relaties
183408	26	26	37	113	191	2	0.332216607894	0.111333686241	Psyche
184636	38	38	31	1286	378	1	0.491015069856	0.192766485252	Zwanger
186414	20	20	33	1507	376	4	0.512062334945	0.213143304823	Relaties
186650	22	22	42	76	151	0	0.411226409642	0.0992636040664	Overig
187924	27	27	34	685	329	0	0.509827146757	0.239169960962	Digi
188171	25	25	24	390	373	1	0.554188247589	0.25575547742	Kinderen
18846	30	30	23	482	338	2	0.510053366457	0.240566480056	Gezondheid
192087	30	30	14	562	371	1	0.496548070413	0.248860057314	Reizen
193479	29	29	26	275	258	0	0.552076481263	0.311840149806	Contact
193751	27	27	34	408	490	1	0.560314269647	0.296690729636	Relaties
194803	68	50	32	543	523	2	0.593377980938	0.360017555066	Actueel
198410	3434	50	35	337	3	0	0.296113127613	0.090822227012	Entertainment
203064	73	50	15	262	193	2	0.528949043232	0.279350173508	Digi
203268	35	35	33	1007	352	0	0.505807437331	0.238776410027	Thuis
203357	87	50	40	2815	391	3	0.588332816372	0.360709650885	Relaties
203573	29	29	26	199	141	1	0.413898246741	0.207294796294	Digi
207621	211	50	42	676	96	0	0.43521575505	0.277133910889	Zwanger
208475	23	23	11	3596	728	4	0.580003436238	0.284616638963	Relaties
20955	22	22	35	1498	517	2	0.656820927686	0.325360441682	Lijf & Lijn
212504	42	42	17	359	187	1	0.449435442881	0.1867359373	Gezondheid
212647	31	31	26	2760	588	3	0.57561573978	0.3364878009	Werk & Studie
212846	39	39	32	494	447	0	0.592026113966	0.293700322609	Gezondheid
213312	25	25	37	779	221	0	0.342213297628	0.0846493779871	Kinderen
213655	56	50	24	741	363	3	0.52900093406	0.292347535798	Relaties
213681	30	30	6	144	220	1	0.499459541709	0.296194814107	Entertainment
214449	60	50	60	2060	403	6	0.512478415043	0.26872620483	Relaties
215183	22	22	25	1078	314	1	0.506890188888	0.245129733311	Eten
215636	2381	50	59	3055	10	11	0.520713050445	0.247747954856	Zwanger
217536	2688	50	58	417	3	0	0.355737167159	0.12214340954	Overig
218079	363	50	27	314	42	1	0.488297101812	0.241435847561	Entertainment
21981	27	27	17	1	260	0	0.455497084426	0.152248293123	Reizen
220243	24	24	30	274	293	1	0.488989672248	0.238398778749	Entertainment
220912	91	50	18	2390	345	2	0.580274151514	0.317935534921	Relaties
220992	26	26	30	349	214	3	0.431001315039	0.157559623114	Eten
221502	2417	50	37	1663	10	5	0.537226557977	0.284112169149	Zwanger
224472	52	50	53	385	217	1	0.365916131849	0.153446318335	Eten
